Model,Rank_IC,IC,IC_IR,MAE,Directional_Accuracy,Top_Decile_Return,Bottom_Decile_Return,Top_Bottom_Spread,Sharpe,Status
Probability_Calibrated_Champion,0.1144,0.1014,0.04,6.98,58.43,-4.18,-7.79,3.6,-0.53,CHALLENGER
Existing_Deterministic_V1,0.0991,0.1059,0.03,6.81,58.43,-4.18,-6.72,2.53,-0.53,CHAMPION
Final_Deterministic_Enhanced,0.0941,0.1019,0.03,6.86,58.43,-4.32,-6.83,2.5,-0.55,CHALLENGER
Regime_Adaptive_Champion,0.0876,0.0911,0.04,6.91,58.43,-4.17,-6.33,2.16,-0.53,CHALLENGER
Final_Hybrid_Challenger,0.0784,0.0865,0.04,6.89,58.51,-4.12,-5.73,1.61,-0.53,REJECTED
Ranking_Challenger,-0.137,-0.1039,-0.06,8.18,37.03,-2.64,-3.53,0.89,-0.34,REJECTED
ML_Residual_Challenger,-0.2915,-0.2357,-0.1,7.23,68.56,-1.64,0.15,-1.79,-0.21,REJECTED
Quantile_Challenger,-0.3019,-0.1871,-0.09,7.19,67.2,-4.23,0.07,-4.3,-0.54,REJECTED
