Strategy,Gross_Return_20D_Pct,Statutory_Cost_Drag_Pct,Net_Return_20D_Pct,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct,Win_Rate_Pct
Top_Decile_Long_Unconstrained,-0.36,0.3,-0.66,-0.03,-0.05,-0.29,43.7
Top_Quintile_Long_Unconstrained,-1.08,0.3,-1.38,-0.09,-0.17,-0.87,38.9
Top_Decile_Long_Short,3.27,0.6,2.67,0.26,0.48,-2.61,43.7
Sector_Neutral_Top_Decile,-0.71,0.3,-1.01,-0.06,-0.1,-0.57,41.8
Industry_Neutral_Top_Quintile_Long_Short,2.49,0.6,1.89,0.21,0.38,-1.99,38.9
Benchmark_Equal_Weight,-3.12,0.0,-3.12,-0.28,-0.45,-2.49,32.7
