configuration,directional_accuracy_pct,mae_error_pct,spearman_rank_ic,gross_spread_bps,net_spread_bps
Config_A_V32_Only,53.69,9.12,0.0178,-2.4,-22.4
Config_B_V34_Only,58.87,7.94,0.1126,299.2,279.2
Config_C_V34_V32_Regime,58.73,8.06,0.1034,289.4,269.4
Config_D_V34_TA_Context,58.87,7.92,0.1138,297.8,277.8
Config_E_V34_TA_Veto,58.84,7.92,0.1157,319.6,299.6
Config_F_Static_Fusion,58.96,7.96,0.0955,275.1,255.1
Config_G_Dynamic_Router,58.76,7.97,0.0893,260.0,240.0
